FR0000121204;07/04/22;90.00;90.60;88.45;88.75;64326
FR0000121261;07/04/22;118.35;119.30;115.80;116.10;704364
FR0000130213;07/04/22;25.36;25.38;25.34;25.34;66783
FR0000053225;07/04/22;17.22;17.45;17.00;17.09;85172
US58933Y1055;07/04/22;77.50;79.80;77.50;79.80;487
LU1598757687;07/04/22;27.85;28.27;27.29;27.73;4037947
FR0000038606;07/04/22;23.95;24.25;23.70;23.80;25918
FR0011675362;07/04/22;40.50;41.41;39.72;39.94;166599
FR0000044448;07/04/22;81.65;83.10;80.20;80.20;50949
FR0000120859;07/04/22;36.74;37.26;36.50;36.76;55933
FI0009000681;07/04/22;4.954;5.07;4.954;4.956;235010
FR0010112524;07/04/22;29.80;30.04;29.20;29.20;106144
FR0000062234;07/04/22;1104.00;1124.00;1096.00;1114.00;467
FR0000120321;07/04/22;368.40;372.55;366.60;367.20;420933
FR0000133308;07/04/22;10.846;11.004;10.832;10.86;6956138
FR0000184798;07/04/22;35.82;36.22;34.86;35.04;368961
